#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 28 15 06 320  9.8 11.8    MM    MM    MM  MM 1032.0   9.4  14.1    MM   MM   MM    MM
2022 01 28 15 00 320  9.8 11.3    MM    MM    MM  MM 1031.9   9.3  14.2    MM   MM +3.8    MM
2022 01 28 14 54 330  9.8 11.3    MM    MM    MM  MM 1031.5   9.5  14.2    MM   MM   MM    MM
2022 01 28 14 48 330 10.3 11.8    MM    MM    MM  MM 1031.3   9.4  14.2    MM   MM   MM    MM
2022 01 28 14 42 330  9.8 11.8    MM    MM    MM  MM 1031.2   9.3  14.4    MM   MM   MM    MM
2022 01 28 14 36 320  9.8 11.8    MM    MM    MM  MM 1031.3   9.3  14.4    MM   MM   MM    MM
2022 01 28 14 30 330 10.3 11.8    MM    MM    MM  MM 1030.9   9.2  14.3    MM   MM   MM    MM
2022 01 28 14 24 330  9.3 11.8    MM    MM    MM  MM 1030.8   9.3  14.5    MM   MM   MM    MM
2022 01 28 14 18 330  9.8 11.8    MM    MM    MM  MM 1030.8   9.3  14.5    MM   MM   MM    MM
2022 01 28 14 12 330 11.3 12.4    MM    MM    MM  MM 1030.6   9.4  14.4    MM   MM   MM    MM
2022 01 28 14 06 330 10.3 12.9    MM    MM    MM  MM 1030.4   9.4  14.6    MM   MM   MM    MM
2022 01 28 14 00 320 10.3 12.4    MM    MM    MM  MM 1030.4   9.5  14.6    MM   MM +4.6    MM
2022 01 28 13 54 330 10.8 13.4    MM    MM    MM  MM 1030.2   9.6  14.6    MM   MM   MM    MM
2022 01 28 13 48 330 10.8 12.9    MM    MM    MM  MM 1030.2   9.7  14.5    MM   MM   MM    MM
2022 01 28 13 42 320 10.8 12.4    MM    MM    MM  MM 1030.1   9.6  14.5    MM   MM   MM    MM
2022 01 28 13 36 330 10.8 12.4    MM    MM    MM  MM 1029.9   9.7  14.7    MM   MM   MM    MM
2022 01 28 13 30 330 10.3 12.4    MM    MM    MM  MM 1029.9  10.0  14.7    MM   MM   MM    MM
2022 01 28 13 24 330  9.8 11.3    MM    MM    MM  MM 1030.1  10.0  14.7    MM   MM   MM    MM
2022 01 28 13 18 330  8.8 10.3    MM    MM    MM  MM 1029.9  10.0  14.8    MM   MM   MM    MM
2022 01 28 13 12 320  9.3 10.8    MM    MM    MM  MM 1029.7  10.0  14.8    MM   MM   MM    MM
2022 01 28 13 06 330  9.3 11.3    MM    MM    MM  MM 1029.3  10.1  14.9    MM   MM   MM    MM
2022 01 28 13 00 330  8.8 11.3    MM    MM    MM  MM 1029.4  10.0  14.8    MM   MM +4.2    MM
2022 01 28 12 54 330  9.3 10.8    MM    MM    MM  MM 1029.2  10.0  14.8    MM   MM   MM    MM
2022 01 28 12 48 330  9.3 11.8    MM    MM    MM  MM 1029.3  10.0  14.8    MM   MM   MM    MM
2022 01 28 12 42 330 10.8 12.9    MM    MM    MM  MM 1029.2   9.9  14.9    MM   MM   MM    MM
2022 01 28 12 36 320 11.8 12.9    MM    MM    MM  MM 1029.2  10.0  14.9    MM   MM   MM    MM
2022 01 28 12 30 320 10.3 11.8    MM    MM    MM  MM 1028.8  10.3  15.0    MM   MM   MM    MM
2022 01 28 12 24 320  9.3 10.8    MM    MM    MM  MM 1028.5  10.4  15.0    MM   MM   MM    MM
2022 01 28 12 18 320  7.2  9.8    MM    MM    MM  MM 1028.5  10.5  15.0    MM   MM   MM    MM
2022 01 28 12 12 330  9.8 11.8    MM    MM    MM  MM 1028.1  10.5  15.0    MM   MM   MM    MM
2022 01 28 12 06 320  9.8 10.8    MM    MM    MM  MM 1028.1  10.6  15.1    MM   MM   MM    MM
2022 01 28 12 00 320  9.3 10.3    MM    MM    MM  MM 1028.1  10.7  15.1    MM   MM +3.7    MM
2022 01 28 11 54 320  8.8 10.8    MM    MM    MM  MM 1028.0  10.9  15.1    MM   MM   MM    MM
2022 01 28 11 48 320  9.3 11.3    MM    MM    MM  MM 1027.6  10.7  15.1    MM   MM   MM    MM
2022 01 28 11 42 320  9.3 10.3    MM    MM    MM  MM 1027.2  11.0  15.2    MM   MM   MM    MM
2022 01 28 11 36 320  9.3 10.3    MM    MM    MM  MM 1027.4  11.1  15.2    MM   MM   MM    MM
