#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 20 19 35  20  8.8 12.4    MM    MM    MM  MM     MM    16    MM    12  8.7   MM    MM
2021 12 20 19 15  30  9.3 11.8    MM    MM    MM  MM     MM    16    MM    14  7.0   MM    MM
2021 12 20 18 55  30  5.1  8.2    MM    MM    MM  MM     MM    16    MM    13  4.3   MM    MM
2021 12 20 18 35  30  4.1   MM    MM    MM    MM  MM     MM    16    MM    13  2.2   MM    MM
2021 12 20 18 15  40  4.6  8.2    MM    MM    MM  MM     MM    16    MM    13  1.7   MM    MM
2021 12 20 17 55  40  5.1  8.2    MM    MM    MM  MM     MM    16    MM    13  1.5   MM    MM
2021 12 20 17 35  30  4.6   MM    MM    MM    MM  MM     MM    16    MM    13  1.1   MM    MM
2021 12 20 17 15  30  7.2   MM    MM    MM    MM  MM     MM    16    MM    13  1.3   MM    MM
2021 12 20 16 55  30  6.2   MM    MM    MM    MM  MM     MM    17    MM    14  1.7   MM    MM
2021 12 20 16 35  40  5.1  7.7    MM    MM    MM  MM     MM    17    MM    14  2.2   MM    MM
2021 12 20 16 15  60  8.8   MM    MM    MM    MM  MM     MM    17    MM    14  2.6   MM    MM
2021 12 20 15 55  60  7.7 10.3    MM    MM    MM  MM     MM    17    MM    14  2.2   MM    MM
2021 12 20 15 35  50  6.7   MM    MM    MM    MM  MM     MM    17    MM    14  2.6   MM    MM
2021 12 20 15 15  50  6.7  9.3    MM    MM    MM  MM     MM    17    MM    14  2.2   MM    MM
2021 12 20 14 55  50  6.2   MM    MM    MM    MM  MM     MM    17    MM    14  1.7   MM    MM
2021 12 20 14 35  50  5.7  8.2    MM    MM    MM  MM     MM    17    MM    14  5.2   MM    MM
2021 12 20 14 15  40  4.6  8.8    MM    MM    MM  MM     MM    17    MM    14  2.6   MM    MM
2021 12 20 13 55  40  6.7  9.8    MM    MM    MM  MM     MM    17    MM    13  3.5   MM    MM
2021 12 20 13 35  30  6.2  9.3    MM    MM    MM  MM     MM    17    MM    13  7.8   MM    MM
2021 12 20 13 15  30  6.2  9.8    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 12 55  50  6.7   MM    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 12 35  40  6.2   MM    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 12 15  50  7.7 10.3    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 11 55  40  6.2  9.3    MM    MM    MM  MM     MM    16    MM    14  8.7   MM    MM
2021 12 20 11 35  30  5.7  9.8    MM    MM    MM  MM     MM    16    MM    13  7.0   MM    MM
2021 12 20 11 15  60  7.2   MM    MM    MM    MM  MM     MM    16    MM    13  3.5   MM    MM
2021 12 20 10 55  40  3.1  7.2    MM    MM    MM  MM     MM    16    MM    13  7.0   MM    MM
2021 12 20 10 35  50  3.1  6.7    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 10 15  20  5.1  8.2    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 09 55  40  4.6  8.8    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 09 35  30  8.2   MM    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 09 15  20  7.2 10.3    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
