#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 27 10 55  70  5.7   MM    MM    MM    MM  MM     MM    14    MM     8  8.7   MM    MM
2022 01 27 10 35  70  4.6   MM    MM    MM    MM  MM     MM    14    MM     7  8.7   MM    MM
2022 01 27 10 10  70  6.2   MM    MM    MM    MM  MM     MM    14    MM     7  8.7   MM    MM
2022 01 27 09 55  80  4.1  7.7    MM    MM    MM  MM     MM    14    MM     7  8.7   MM    MM
2022 01 27 09 35  70  6.2   MM    MM    MM    MM  MM     MM    14    MM     7  8.7   MM    MM
2022 01 27 09 15  80  4.6  8.8    MM    MM    MM  MM     MM    14    MM     7  8.7   MM    MM
2022 01 27 08 55  80  5.1  8.8    MM    MM    MM  MM     MM    14    MM     7  8.7   MM    MM
2022 01 27 08 35  80  5.7  9.3    MM    MM    MM  MM     MM    14    MM     6  8.7   MM    MM
2022 01 27 08 15  80  5.1  8.8    MM    MM    MM  MM     MM    14    MM     6  8.7   MM    MM
2022 01 27 07 55  80  5.1  9.3    MM    MM    MM  MM     MM    14    MM     6  8.7   MM    MM
2022 01 27 07 35  80  5.1 10.8    MM    MM    MM  MM     MM    14    MM     6  8.7   MM    MM
2022 01 27 07 15  80  6.7 11.3    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 27 06 55  70 10.3   MM    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 27 06 35  80  9.8 12.9    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 27 06 15  80  8.2 12.9    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 27 05 55  80  8.2 12.4    MM    MM    MM  MM     MM    14    MM     4  8.7   MM    MM
2022 01 27 05 35  80  9.8   MM    MM    MM    MM  MM     MM    14    MM     4  8.7   MM    MM
2022 01 27 05 15  80  8.8 11.3    MM    MM    MM  MM     MM    14    MM     4  8.7   MM    MM
2022 01 27 04 55  80  9.8 12.9    MM    MM    MM  MM     MM    14    MM     4  8.7   MM    MM
2022 01 27 04 30  70 11.8   MM    MM    MM    MM  MM     MM    14    MM     4  8.7   MM    MM
2022 01 27 04 15  70 11.3   MM    MM    MM    MM  MM     MM    14    MM     3  8.7   MM    MM
2022 01 27 03 55  70 11.3   MM    MM    MM    MM  MM     MM    14    MM     3  8.7   MM    MM
2022 01 27 03 35  70 11.8   MM    MM    MM    MM  MM     MM    14    MM     3  8.7   MM    MM
2022 01 27 03 15  60 11.8   MM    MM    MM    MM  MM     MM    14    MM     3  8.7   MM    MM
2022 01 27 02 55  70 12.9   MM    MM    MM    MM  MM     MM    14    MM     3  8.7   MM    MM
2022 01 27 02 35  60 12.9   MM    MM    MM    MM  MM     MM    14    MM     3  8.7   MM    MM
2022 01 27 02 15  50 12.4   MM    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 27 01 55  60 11.3   MM    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 27 01 35  60  9.8   MM    MM    MM    MM  MM     MM    15    MM     4  8.7   MM    MM
2022 01 27 01 15  50  9.8   MM    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 27 00 55  50 10.3   MM    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 27 00 35  50 10.3   MM    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 27 00 15  50  9.8 12.4    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 26 23 55  60 10.3   MM    MM    MM    MM  MM     MM    15    MM     3  8.7   MM    MM
2022 01 26 23 35  50 10.3   MM    MM    MM    MM  MM     MM    15    MM     3  0.2   MM    MM
2022 01 26 23 15  50  9.3 11.8    MM    MM    MM  MM     MM    14    MM     4  0.2   MM    MM
2022 01 26 22 50  50 10.3 12.9    MM    MM    MM  MM     MM    14    MM     3   MM   MM    MM
2022 01 26 22 35  50  9.8 12.4    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 26 22 15  50  8.8   MM    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 26 21 55  50  9.8   MM    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 26 21 35  50  9.8   MM    MM    MM    MM  MM     MM    14    MM     5  8.7   MM    MM
2022 01 26 21 15  50  9.8   MM    MM    MM    MM  MM     MM    13    MM     5  8.7   MM    MM
2022 01 26 20 55  50 10.3   MM    MM    MM    MM  MM     MM    13    MM     5  8.7   MM    MM
2022 01 26 20 35  60 10.8 13.4    MM    MM    MM  MM     MM    13    MM     5  8.7   MM    MM
2022 01 26 20 15  50 10.8 13.4    MM    MM    MM  MM     MM    13    MM     6  8.7   MM    MM
2022 01 26 19 55  50 11.3 13.9    MM    MM    MM  MM     MM    13    MM     6  8.7   MM    MM
2022 01 26 19 35  60 10.8 14.4    MM    MM    MM  MM     MM    13    MM     7  8.7   MM    MM
2022 01 26 19 15  50 12.4 14.9    MM    MM    MM  MM     MM    12    MM     7  8.7   MM    MM
2022 01 26 18 55  50 12.4 14.9    MM    MM    MM  MM     MM    12    MM     7  8.7   MM    MM
2022 01 26 18 35  50 12.9 15.4    MM    MM    MM  MM     MM    12    MM     7  8.7   MM    MM
2022 01 26 18 15  50 12.4   MM    MM    MM    MM  MM     MM    13    MM     8  8.7   MM    MM
2022 01 26 17 55  50 12.4 14.9    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 17 35  60 12.4 15.4    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 17 10  60 13.4   MM    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 16 55  60 16.0   MM    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 16 35  50 15.4   MM    MM    MM    MM  MM     MM    11    MM     8  8.7   MM    MM
2022 01 26 16 15  50 14.4   MM    MM    MM    MM  MM     MM    11    MM     8  8.7   MM    MM
2022 01 26 15 55  50 14.4   MM    MM    MM    MM  MM     MM    11    MM     8  8.7   MM    MM
2022 01 26 15 35  50 13.9   MM    MM    MM    MM  MM     MM    11    MM     8  8.7   MM    MM
2022 01 26 15 15  50 13.9   MM    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 14 55  50 13.4 16.5    MM    MM    MM  MM     MM    11    MM     8  8.7   MM    MM
2022 01 26 14 35  50 14.4 17.5    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 14 15  50 13.9   MM    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 13 55  60 15.4   MM    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 13 35  50 14.4 17.5    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 13 15  50 14.4 17.0    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 12 55  50 14.9 18.0    MM    MM    MM  MM     MM    12    MM     8  8.7   MM    MM
2022 01 26 12 35  60 15.4 19.0    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 12 15  60 15.4 19.0    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 11 55  50 14.9 18.5    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 11 30  50 15.4   MM    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 11 15  60 16.5   MM    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 10 55  60 16.0   MM    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 10 35  50 15.4 18.0    MM    MM    MM  MM     MM    13    MM     9  8.7   MM    MM
2022 01 26 10 15  50 14.9 18.5    MM    MM    MM  MM     MM    13    MM    10  8.7   MM    MM
2022 01 26 09 55  50 15.4   MM    MM    MM    MM  MM     MM    13    MM    10  8.7   MM    MM
2022 01 26 09 35  50 15.4   MM    MM    MM    MM  MM     MM    13    MM    10  8.7   MM    MM
2022 01 26 09 15  40 14.9   MM    MM    MM    MM  MM     MM    13    MM    10  8.7   MM    MM
2022 01 26 08 55  50 15.4   MM    MM    MM    MM  MM     MM    14    MM    10  8.7   MM    MM
2022 01 26 08 35  50 15.4   MM    MM    MM    MM  MM     MM    14    MM    10  8.7   MM    MM
2022 01 26 08 15  50 13.9 16.5    MM    MM    MM  MM     MM    14    MM    10  8.7   MM    MM
2022 01 26 07 55  60 13.9   MM    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 26 07 35  60 13.9 16.5    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 26 07 15  50 15.4   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 26 06 55  50 14.4   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 26 06 30  60 13.4 17.0    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 26 06 15  60 15.4   MM    MM    MM    MM  MM     MM    15    MM     9  8.7   MM    MM
2022 01 26 05 50  60 16.5 19.0    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 26 05 35  70 17.0 21.1    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 26 05 15  60 17.5 20.1    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 26 04 55  70 18.5   MM    MM    MM    MM  MM     MM    16    MM    10  8.7   MM    MM
2022 01 26 04 35  70 18.0   MM    MM    MM    MM  MM     MM    16    MM     9  8.7   MM    MM
2022 01 26 04 15  70 18.0 20.6    MM    MM    MM  MM     MM    15    MM    10  8.7   MM    MM
2022 01 26 03 55  70 18.0   MM    MM    MM    MM  MM     MM    15    MM    12  8.7   MM    MM
2022 01 26 03 35  70 16.5 19.0    MM    MM    MM  MM     MM    15    MM    12  8.7   MM    MM
2022 01 26 03 15  70 17.5   MM    MM    MM    MM  MM     MM    15    MM    12  8.7   MM    MM
2022 01 26 02 55  60 13.9   MM    MM    MM    MM  MM     MM    15    MM    12  8.7   MM    MM
2022 01 26 02 35  60 13.4   MM    MM    MM    MM  MM     MM    15    MM    12  8.7   MM    MM
2022 01 26 02 15  60 14.4   MM    MM    MM    MM  MM     MM    14    MM    12  8.7   MM    MM
2022 01 26 01 55  60 14.4   MM    MM    MM    MM  MM     MM    14    MM    12  8.7   MM    MM
2022 01 26 01 35  60 14.4   MM    MM    MM    MM  MM     MM    14    MM    12  8.7   MM    MM
2022 01 26 01 15  60 14.9   MM    MM    MM    MM  MM     MM    14    MM    12  8.7   MM    MM
2022 01 26 00 55  60 13.4   MM    MM    MM    MM  MM     MM    14    MM    12  8.7   MM    MM
2022 01 26 00 35  60 13.9   MM    MM    MM    MM  MM     MM    14    MM    12  8.7   MM    MM
2022 01 26 00 10  50 14.4   MM    MM    MM    MM  MM     MM    14    MM    13  8.7   MM    MM
2022 01 25 23 55  50 13.9   MM    MM    MM    MM  MM     MM    14    MM    13  8.7   MM    MM
2022 01 25 23 35  60 12.4 14.9    MM    MM    MM  MM     MM    14    MM    13  1.3   MM    MM
2022 01 25 23 15  50 13.9   MM    MM    MM    MM  MM     MM    14    MM    13  1.7   MM    MM
2022 01 25 22 55  60 14.4   MM    MM    MM    MM  MM     MM    14    MM    13  2.6   MM    MM
2022 01 25 22 35  50 13.9   MM    MM    MM    MM  MM     MM    14    MM    13  1.7   MM    MM
2022 01 25 22 15  50 13.9   MM    MM    MM    MM  MM     MM    14    MM    13  1.3   MM    MM
2022 01 25 21 55  60 13.9   MM    MM    MM    MM  MM     MM    14    MM    13  1.3   MM    MM
2022 01 25 21 35  60 14.9   MM    MM    MM    MM  MM     MM    14    MM    13  0.7   MM    MM
2022 01 25 21 15  60 14.9   MM    MM    MM    MM  MM     MM    14    MM    13  0.4   MM    MM
2022 01 25 20 55  60 14.4   MM    MM    MM    MM  MM     MM    15    MM    13  2.6   MM    MM
2022 01 25 20 35  60 13.9   MM    MM    MM    MM  MM     MM    15    MM    14  8.7   MM    MM
2022 01 25 20 15  70 16.0   MM    MM    MM    MM  MM     MM    15    MM    14  8.7   MM    MM
2022 01 25 19 55  60 13.4   MM    MM    MM    MM  MM     MM    15    MM    14  8.7   MM    MM
2022 01 25 19 35  60 13.4   MM    MM    MM    MM  MM     MM    15    MM    14  8.7   MM    MM
2022 01 25 19 15  60 12.9 15.4    MM    MM    MM  MM     MM    15    MM    14  8.7   MM    MM
2022 01 25 18 55  60 13.4   MM    MM    MM    MM  MM     MM    15    MM    14  4.3   MM    MM
2022 01 25 18 30  60 11.8   MM    MM    MM    MM  MM     MM    15    MM    14  7.0   MM    MM
2022 01 25 18 15  60 11.3   MM    MM    MM    MM  MM     MM    15    MM    14  1.7   MM    MM
2022 01 25 17 55  50 11.8   MM    MM    MM    MM  MM     MM    15    MM    14  6.1   MM    MM
2022 01 25 17 35  60 12.9   MM    MM    MM    MM  MM     MM    15    MM    14  0.7   MM    MM
2022 01 25 17 15  60 12.4   MM    MM    MM    MM  MM     MM    15    MM    14  0.4   MM    MM
2022 01 25 16 55  60 11.8   MM    MM    MM    MM  MM     MM    16    MM    15  8.7   MM    MM
2022 01 25 16 35  70 12.4   MM    MM    MM    MM  MM     MM    16    MM    15  8.7   MM    MM
2022 01 25 16 15  80 10.8   MM    MM    MM    MM  MM     MM    16    MM    15  7.8   MM    MM
2022 01 25 15 55  70 10.8   MM    MM    MM    MM  MM     MM    16    MM    15  1.5   MM    MM
2022 01 25 15 35  70 11.3   MM    MM    MM    MM  MM     MM    15    MM    14  1.1   MM    MM
2022 01 25 15 15  70 11.8   MM    MM    MM    MM  MM     MM    15    MM    14  1.5   MM    MM
2022 01 25 14 55  70 10.8   MM    MM    MM    MM  MM     MM    15    MM    14  8.7   MM    MM
2022 01 25 14 35  70 12.4   MM    MM    MM    MM  MM     MM    15    MM    14  4.3   MM    MM
2022 01 25 14 15  70 12.9   MM    MM    MM    MM  MM     MM    14    MM    13  1.5   MM    MM
2022 01 25 13 55  70 12.4 14.9    MM    MM    MM  MM     MM    14    MM    13  1.7   MM    MM
2022 01 25 13 35  70 13.9   MM    MM    MM    MM  MM     MM    14    MM    13  1.7   MM    MM
2022 01 25 13 15  70 14.4   MM    MM    MM    MM  MM     MM    14    MM    13  0.7   MM    MM
2022 01 25 12 50  50 12.4   MM    MM    MM    MM  MM     MM    14    MM    13  0.7   MM    MM
2022 01 25 12 35  40 10.3   MM    MM    MM    MM  MM     MM    15    MM    14  1.7   MM    MM
2022 01 25 12 15  MM    0   MM    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
2022 01 25 11 55 190  2.1   MM    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
2022 01 25 11 35 190  4.6   MM    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
2022 01 25 11 15 190  7.2   MM    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
2022 01 25 10 55 190  4.6   MM    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
2022 01 25 10 35 180  5.7   MM    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
2022 01 25 10 15 180  5.7  8.2    MM    MM    MM  MM     MM    17    MM    16  8.7   MM    MM
